date_time,user,msg
2013-12-02 19:47:16,] No Asadito,"‎Messages and calls are end-to-end encrypted. No one outside of this chat, not even WhatsApp, can read or listen to them. ["
2013-12-02 19:47:16,grp_notif,] ‎Fede😏 created this group [
2013-12-02 19:47:16,grp_notif,] ‎You were added [
2019-03-04 21:50:48,] Tincho😝,Sale envergadura [
2019-03-04 21:50:58,] Ayrton,Y [
2019-03-04 23:31:45,] Nico🙃,Vieron que cambiaron 7 reglas del futbol? [
2019-03-04 23:32:13,] Nico🙃,Son una pija [
2019-03-05 01:42:32,] Ayrton,No [
2019-03-05 01:42:33,] Ayrton,Cuales [
2019-03-07 16:17:29,] Gonza Tarde😈,Hoy vamos a ir a una hamburgueseriab [
2019-03-07 16:17:34,] Gonza Tarde😈,Que te dan guantes para comer la hamburguesa [
2019-03-07 16:17:41,] Gonza Tarde😈,Alguien se prende ? [
2019-03-09 22:00:56,] Gonza Tarde😈,Fede estás ?
